body	topic
"    --Caryn Trokie 212-8589-1678"""	N2:LOA
"    TAIPEI, April 15 (Reuter) - Taiwan's money rates finished
mixed on Monday, dealers expecting overnight to rise further
amid current bullish stock market and income tax payments.
    Overnight ended at 6.134 percent against Saturday's 5.949,
while 30-day commercial paper fell to 7.00 from 7.10-7.15.
    Though Taiwan share prices hit a new 11-month high on
Monday, attracting liquidity into the stock market, bond traders
did not expect significantly tighter conditions as the central
bank monetary policy remains relaxed."	N2:LOA
"     LONDON, April 16 (LPC) - A bank loan of $500 million for
Finnish communications giant Nokia is being syndicated, bank
sources said.
    The deal, arranged by Merita Bank, NatWest Markets, Societe
Generale and Union Bank of Switzerland, is priced at 17.5 bps
over LIBOR with a commitment fee of 8.75 bps.
    Banks are being offered a top end fee of 9 bps for a $40
million commitment. Nokia was last in the market in May last
year for a $350 million credit, also for seven years, which was
priced at LIB+ 20. 
    For further details go to <LOANS>
   Paul Caine 44-0171-542-4048"	N2:LOA
"    HONG KONG, April 15 (Reuter) - Kwong On Bank's HK$300
million five-year floating rate certificate of deposit issue has
been allotted, said arranger Fuji International Finance HK.
    The certificates were priced at par and pay a coupon of 55
basis points over the three-month Hong Kong Interbank Offered
Rate. There are put and call options in years three and four.
    With fees, the all-in return for managers is 69 basis
points.
    Arrangers, with HK$75 million each, are Fuji International
Finance HK, Bayerische Landesbank HK and Schroders Asia.
    Managers, with HK$25 million each, are BW Bank, JP Morgan
Securities and Westpac Banking Corp HK.
    Signing is set for April 22. The payment date is April 26.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"     LONDON, April 15 (LPC) - Arrangers Deutsche Morgan Grenfell
and Enskilda have launched general syndication of a 350 million
mark facility for Sweden's Securitas AB, the banks announced.
   The seven-year revolver bears interest at 22.5 bps over LIBOR
in years one to five, and the margin is stepped up to 25 bps
thereafter. The commitment fee runs at 50 percent of the margin
throughout. The credit, which refinances an existing ECU 100
million facility, will be repaid in seven equal semi-annual
amounts. 
    For further details go to <LOANS>
    LPC Newsroom 44-0171-542-4048"	N2:LOA
"    --Quito Newsroom (5932) 258.433"""	N2:LOA
"    ISTANBUL, April 12 (Reuter) - Turkey's leading private banks
cut their lira deposit rates in short term maturities after the
recent sharp falls in overnight money rates and t-bill yields.
    Three leading private banks Akbank <AKBNK.IS>, Is Bankas
<ISATR.IS> and Yapi ve Kredi Bankasi <YKBNK.IS>jointly lowered
their one and three-month deposit rates by five points to 75
percent and 80 percent respectively, effective from Monday.
    They kept their six-month deposit rates at 90 percent and
one-year deposit rates 95 percent.
    Private Sumerbank and Tarisbank also lowered their
short-term deposit rates by between 2-5 percentage points while
private Egebank slashed the deposit rates on all maturities by
four points, effective from Monday.
    More private banks are expected to follow suit next week,
bankers said.
    The treasury managed to lower its t-bill yields by more than
20 points in two auctions this month, after a month-long cash
squeeze eased in the money market.
    The central bank supported the downward trend in interest
rates by gradually lowering its overnight bid-offer rates. The
overnight money rates sank to a low 45 percent this week from 90
percent levels earlier this month.
    In the t-bill market, yields plunged to below 120 percent
levels, from 135-140 percent on April 1.
    Money and t-bill rates firmed today due to fresh cash demand
ahead of the weekend and public sector salary payments due on
Monday. --Istanbul newsroom +90-212-275 08 75"	N2:LOA
"    HONG KONG, April 15 (Reuter) - The following issue was
announced by arranger Commercial Bank of Korea.
 BORROWER  DAEDONG BANK
 AMOUNT    US$50 MLN   COUPON     6ML+42BP   MATURITY  5 YRS
 TYPE      FRCD        ISS PRICE  PAR        RE-OFFER  --
 PUTS      3 YRS       CALLS      NONE       LAUNCHED  09.APR.96
 LISTING   NONE        REPAYMENT  BULLET     REPLIES   29.APR.96
 RATINGS   --          SALE LIMITS --        DENOMS    500K
 NEG PLG   NONE        CRS DEF    YES        FORCE MAJ YES   
 HOME CTRY S.KOREA     GOV LAW    ENGLISH    PAY DATE  MID MAY
 MGT LEVELS AND FEES                                         
     CO-LEAD MGR  US$5 MLN +    43.5BP   ALL-IN 56.5BP
             MGR  US$2-4 MLN    39  BP   ALL-IN 55  BP
 ARRANGERS COMMERCIAL BANK OF KOREA, KOREA DEVELOPMENT BANK
           LONDON, MERRILL LYNCH INTERNATIONAL, SEOULBANK, LTCB
           JAPAN, INDUSTRIAL BANK OF KOREA
    --HONG KONG NEWSROOM (852) 2847 4039"	N2:LOA
"    HONG KONG, April 11 (Reuter) - The following issue was
announced by arranger Fuji International Finance Hong Kong.
 BORROWER   KOREA DEVELOPMENT BANK
 AMOUNT     HK$1 BLN    COUPON     3MH+28BP  MATURITY  3 YRS
 TYPE       FRN         ISS PRICE  PAR       LAUNCH    12.APR.96
 PUTS       NONE        CALLS      NONE      REPLIES   24.APR.96
 LISTING    NONE        REPAYMENT  BULLET    DENOMS    HK$1 MLN
 RATINGS    EXPCTD S&P  SALE LIMITS  STANDARD
 NEG PLG    YES         CRS DEF    YES       FORCE MAJ  YES
 HOME CTRY  S KOREA     GOV LAW    ENGLISH   TAX PROV   --
 PAY DATE   09.MAY.96 TENTATIVE
 NOTES      SIGNING IS TENTATIVELY SET FOR MAY 6.
            THE ISSUE IS UNDER THE BORROWER'S US$3 BLN EURO MTN
            PROGRAMME OF FEB 1995.
            APPLICATION HAS BEEN MADE TO THE HKMA TO ACCEPT THE
            ISSUE AS ELIGIBLE FOR ITS LIQUIDITY ADJUSTMENT
            FACILITY, OR DISCOUNT WINDOW.
 MGT LEVELS AND FEES
   CO-LEAD MGRS    HK$45 MLN+    15.0BP   ALL-IN 33.0
   MANAGERS        HK$30-44 MLN  10.5BP   ALL-IN 31.5"	N2:LOA
"    HONG KONG, April 11 (Reuter) - The following issue was
announced by arranger Fuji International Finance Hong Kong.
 BORROWER   KOREA DEVELOPMENT BANK
 AMOUNT     HK$1 BLN    COUPON     3MH+28BP  MATURITY  3 YRS
 TYPE       FRN         ISS PRICE  PAR       LAUNCH    12.APR.96
 PUTS       NONE        CALLS      NONE      REPLIES   24.APR.96
 LISTING    NONE        REPAYMENT  BULLET    DENOMS    HK$1 MLN
 RATINGS    EXPCTD S&P  SALE LIMITS  STANDARD
 NEG PLG    YES         CRS DEF    YES       FORCE MAJ  YES
 HOME CTRY  S KOREA     GOV LAW    ENGLISH   TAX PROV   --
 PAY DATE   09.MAY.96 TENTATIVE
 NOTES      SIGNING IS TENTATIVELY SET FOR MAY 6.
            THE ISSUE IS UNDER THE BORROWER'S US$3 BLN EURO MTN
            PROGRAMME OF FEB 1995.
            APPLICATION HAS BEEN MADE TO THE HKMA TO ACCEPT THE
            ISSUE AS ELIGIBLE FOR ITS LIQUIDITY ADJUSTMENT
            FACILITY, OR DISCOUNT WINDOW.
 MGT LEVELS AND FEES
   CO-LEAD MGRS    HK$45 MLN+    15.0BP   ALL-IN 33.0
   MANAGERS        HK$30-44 MLN  10.5BP   ALL-IN 31.5
 JOINT ARRANGERS & BOOKRUNNERS    FUJI INTERNATIONAL FINANCE HK
                                  (SIGNING & PUBLICITY) AND
                                  HSBC MARKETS (DOCUMENTATION).
 AGENT    BANKERS TRUST LONDON
 SUB-AGENT   BANKERS TRUST HONG KONG
 --HK Newsroom (852) 2843 6960"	N2:LOA
